path	cell	dataType	antibody	view	replicate	type	lab	hub
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDuke8988tUniPk.narrowPeak.gz	8988T	DnaseSeq		Peaks		narrowPeak	Duke	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeAosmcUniPk.narrowPeak.gz	AoSMC	DnaseSeq		Peaks		narrowPeak	Duke	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeChorionUniPk.narrowPeak.gz	Chorion	DnaseSeq		Peaks		narrowPeak	Duke	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeCllUniPk.narrowPeak.gz	CLL	DnaseSeq		Peaks		narrowPeak	Duke	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeFibroblUniPk.narrowPeak.gz	Fibrobl	DnaseSeq		Peaks		narrowPeak	Duke	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeFibropUniPk.narrowPeak.gz	FibroP	DnaseSeq		Peaks		narrowPeak	Duke	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeGlioblaUniPk.narrowPeak.gz	Gliobla	DnaseSeq		Peaks		narrowPeak	Duke	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeGm12891UniPk.narrowPeak.gz	GM12891	DnaseSeq		Peaks		narrowPeak	Duke	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeGm12892UniPk.narrowPeak.gz	GM12892	DnaseSeq		Peaks		narrowPeak	Duke	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeGm18507UniPk.narrowPeak.gz	GM18507	DnaseSeq		Peaks		narrowPeak	Duke	Data
